,MW,AMW,nBM,H%,C%,N%,O%,X%,nCsp3,nCIR,TRS,Rbrid,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,Wap,S3K,SRW09,X2v,X5v,EE_Dt,J_D/Dt,EE_Dz(v),ChiA_Dz(p),ATSC1m,ATSC1s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_7,P_VSA_MR_8,P_VSA_m_4,P_VSA_m_5,P_VSA_v_3,P_VSA_e_3,P_VSA_e_6,P_VSA_s_3,SpMax_EA(ed),SM13_EA(bo),SM07_EA(dm),H-052,SssCH2,SsssCH,SaaN,SsOH,SssO,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_01_LL,CATS2D_09_LL,T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..P),T(O..Cl),T(O..Br),T(S..F),T(F..Cl),T(Cl..Cl),F03[C-N],MLOGP2,ALOGP2,Class,Label
779,122.19,6.431,6,52.6,36.8,10.5,0,0,3,1,6,0,0,0,0,0,0,0,0,0,0,247,1.257,0,1.942,0.319,37.216,8.9209,17.233,0.061,4.348,4.226,17.65,2.535,0,57.113,23.608,0,0,33.571,0,0,0,43.793,33.571,0,8.048,8.475,17.203,0,0,0.972,0,8.222,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.101,0.579,FlavorsandFragrances,3
662,114.16,6.342,2,55.6,33.3,0,11.1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,68,2.305,0,1.553,0.125,17.676,7,16.534,0.067,3.968,4.764,17.65,5.069,0,60.557,0,0,0,0,0,0,0,32.986,0,0,15.336,7.781,15.611,0,0,0.68,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.682,FlavorsandFragrances,3
741,122.13,8.142,7,40,46.7,0,13.3,0,0,1,6,0,0,0,0,0,0,0,0,0,0,239,1.372,0,1.671,0.33,36.089,8.4791,16.263,0.064,2.492,10.077,0,0,47.381,68.738,3.186,0,0,0,0,0,0,51.477,0,0,4.095,8.139,16.759,0,0,0,0,0,8.385,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89,2.058,FlavorsandFragrances,3
573,178.3,5.752,6,58.1,38.7,0,3.2,0,6,1,6,0,0,0,0,0,0,0,0,0,0,630,2.562,0,3.613,0.884,62.443,10.7526,37.669,0.028,7.579,5.881,35.301,4.592,28.429,0,22.614,0,0,0,0,0,0,79.937,0,0,16.207,9.033,17.737,0,3,0.738,0.569,0,0,5.527,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.463,14.767,FlavorsandFragrances,3
546,126.17,6.641,2,52.6,36.8,0,10.5,0,5,1,5,0,0,0,22.367,0,0,0,0,0,0,220,0.893,6.952,2.766,0.511,32.332,8.7209,17.107,0.062,4.192,5.117,17.65,2.535,0,60.557,0,0,0,0,0,0,0,30.452,0,0,12.801,9.919,16.513,0,0,0.748,-0.042,0,0,0,2,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172,0.852,FlavorsandFragrances,3
855,170.28,5.676,2,60,33.3,0,6.7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,265,8.377,0,2.693,0.367,45.974,11,47.287,0.019,7.273,3.508,17.65,14.731,18.952,32.336,11,0,0,18.952,0,0,0,58.525,0,0,21.922,6.066,13.509,6.176,0,4.017,0,0,0,4.903,3,3,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.621,9.46,FlavorsandFragrances,3
453,149.26,5.741,3,57.7,38.5,3.8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,194,6.864,0,2.94,0.332,36.591,10,30.821,0.036,5.896,7.92,26.476,5.069,18.952,16.602,37.431,0,0,18.952,0,0,0,73.47,31.059,0,11.44,6.081,14.904,0,0,2.047,0,0,0,0,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.478,11.679,FlavorsandFragrances,3
874,130.21,5.661,1,60.9,30.4,0,8.7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,102,5.508,0,2.403,0.177,23.544,8,25.925,0.036,5.628,3.56,26.476,7.127,0,32.336,11,0,0,0,0,0,0,40.794,0,0,14.318,6.534,13.71,6.158,3,1.027,0.407,0,0,4.714,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.981,3.044,FlavorsandFragrances,3
708,236.44,5.254,0,62.2,35.6,0,2.2,0,16,6,16,3,0,0,52.717,37.611,42.729,0,55.656,0,0,4386,1.246,8.032,7.859,4.796,139.033,15.7155,53.04,0.021,11.952,5.509,46.184,12.673,0,11,0,0,0,0,0,0,0,58.857,0,0,12.673,16.472,17.894,0,6,7.034,2.659,0,0,5.942,3,3,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94,12.714,FlavorsandFragrances,3
863,226.35,5.957,2,57.9,34.2,0,7.9,0,11,1,5,0,0,0,49.707,0,0,0,0,0,0,1100,4.015,6.783,4.648,1.563,87.697,11.7508,64.384,0.017,9.302,4.528,19.708,17.742,0,62.615,11,0,0,0,0,0,0,49.775,0,0,30.067,10.051,15.509,6.534,0,6.332,0.349,0,0,4.671,4,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.795,7.083,FlavorsandFragrances,3
400,142.22,5.926,2,58.3,33.3,0,8.3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,142,6.377,0,2.57,0.218,29.529,9,31.469,0.028,5.718,5.151,17.65,22.894,9.476,32.336,11,0,0,9.476,0,0,0,57.212,0,0,14.318,6.546,13.728,6.176,0,0.819,0.373,0,0,4.745,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.813,4.051,FlavorsandFragrances,3
789,182.29,5.88,3,58.1,35.5,0,6.5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,324,9.028,0,3.3,0.461,51.865,12,49.19,0.021,7.36,6.825,26.476,9.661,18.952,50.398,17.371,0,0,18.952,0,0,0,74.943,0,0,16.033,6.106,14.724,0,0,2.489,0,0,0,4.559,1,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.661,10.668,FlavorsandFragrances,3
593,162.2,7.373,8,45.5,45.5,0,9.1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,510,3.037,0,2.267,0.489,57.386,9.2816,33.336,0.031,4.219,3.133,10.883,0,66.334,32.336,14.185,0,0,18.952,0,0,0,87.594,0,0,10.377,7.018,16.331,0,0,0,0,0,0,4.446,2,2,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.636,FlavorsandFragrances,3
451,90.1,7.508,1,50,16.7,16.7,16.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,2.558,0,0.691,0,10.742,5,13.938,0.063,2.833,10.553,8.396,32.483,42.806,25.145,0,4.276,0,0,0,0,0,12.672,32.483,0,4.276,5.653,13.341,4.079,0,0,0,0,7.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.483,1.423,FlavorsandFragrances,3
720,144.24,5.548,1,61.5,30.8,0,7.7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,150,6.636,0,2.324,0.276,31.264,9,34.499,0.026,6.395,2.762,17.65,14.731,0,32.336,11,0,0,0,0,0,0,39.572,0,0,21.922,6.066,13.492,6.158,2,4.096,0,0,0,4.884,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.244,6.115,FlavorsandFragrances,3
