MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,Wap,MAXDN,LOC,X3v,X5v,Yindex,IC1,CIC3,J_D/Dt,J_Dz(Z),SM1_Dz(e),ChiA_Dz(p),SM1_Dz(p),SpMax_B(m),SpMax_B(s),nCp,nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nRCONHR,nOHs,nROR,nArOR,nArX,Hy,MLOGP,MLOGP2,ALOGP2,Class,Label
612.69,7.659,17,5,2,0,0,0,0,38.8,2.5,13.8,4,5,1,0,0,1,0,0,0,0,0,0,0,0,86261,2.851,1.235,7.326,3.38,0.44,4.101,0.657,17.0559,1.7593,1.383,0.003,-2.734,3.937,7.446,5,0,3,1,3,1,1,0,1,2,1,0,2.888,0.622,0.387,11.561,Antibacterial,0
460.48,8.079,11,5,2,0,0,0,0,38.6,3.5,15.8,4,10,3,0,0,3,0,0,0,0,0,0,0,0,48224,4.273,0.927,7.036,4.196,0.841,4.194,0.461,25.9958,2.1686,1.251,0.007,-2.565,4.005,7.451,1,0,2,4,2,2,0,0,1,0,0,0,4.964,-1.599,2.556,4.453,Antibacterial,0
171.22,7.783,12,0,3,0,0,0,0,45.5,13.6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1164,0.86,0,1.586,0.634,0.928,2.391,0.909,9.8602,2.4094,0.346,0.024,-1.03,3.676,4.822,0,0,0,0,0,0,0,0,0,0,0,0,-0.202,2.338,5.466,4.653,ChelatingAgentsLigands,1
267.36,6.684,7,1,1,0,0,0,0,35,2.5,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1760,2.115,2.414,2.097,0.746,0.872,3.034,1.251,12.8907,2.6866,0.753,0.008,-1.856,3.679,7.434,3,0,0,0,0,0,0,0,0,0,2,0,-0.249,1.599,2.556,6.575,ChelatingAgentsLigands,1
386.46,8.588,20,3,2,1,0,0,1,42.2,4.4,11.1,3,4,1,0,0,1,0,0,0,0,0,0,0,0,12173,4.761,1.187,5.224,2.754,0.691,3.803,0.478,15.2587,2.6337,0.948,0.008,-2.055,4.711,7.716,2,0,0,0,0,0,0,0,0,0,1,0,0.304,1.818,3.307,11.548,ChelatingAgentsLigands,1
350.46,6.872,9,3,2,0,0,0,0,35.3,3.9,9.8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3339,2.848,2.174,3.722,1.587,1.152,3.252,1.589,17.2393,3.2638,0.92,0.007,-2.104,3.777,7.48,4,0,0,0,0,0,0,1,0,0,0,0,1.005,1.836,3.369,8.394,ChelatingAgentsLigands,1
470.49,7.974,11,5,4,0,0,0,0,32.2,6.8,16.9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6051,2.968,2.365,4.303,2.036,1.068,3.765,1.288,18.9391,3.3922,1.391,0.004,-2.734,3.67,7.484,0,0,0,0,0,0,0,1,0,0,0,0,4.162,-0.729,0.531,0.311,ChelatingAgentsLigands,1
292.28,8.119,4,4,2,0,0,0,0,27.8,5.6,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910,2.894,2.122,2.168,0.803,1.931,2.753,2.111,19,5.0091,1.178,0.009,-2.468,3.478,7.484,0,0,0,0,0,0,0,0,0,0,0,0,2.174,-1.358,1.845,0.745,ChelatingAgentsLigands,1
502.63,8.107,27,4,2,1,0,0,1,45.2,3.2,8.1,4,5,1,0,0,1,0,0,0,0,0,0,0,0,36600,4.818,1.257,6.653,3.309,0.494,3.601,0.553,15.1082,2.0613,0.948,0.005,-2.055,4.711,7.716,2,0,0,0,2,0,1,0,0,0,1,0,-0.383,3.447,11.883,37.579,ChelatingAgentsLigands,1
660.06,12.223,6,6,0,0,0,0,6,11.1,0,44.4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7728,6.821,1.505,6.605,5.307,1.716,2.725,3.029,25.145,5.9781,1.852,0.005,-3.285,4.506,7.496,0,0,6,0,0,0,0,0,0,0,0,0,9.087,-1.543,2.38,62.821,ChelatingAgentsLigands,1
454.59,7.838,21,4,2,1,0,0,1,41.4,3.4,8.6,3,4,1,0,0,1,0,0,0,0,0,0,0,0,18950,4.783,1.605,5.843,2.94,0.64,3.698,0.707,16.3168,2.5388,0.948,0.006,-2.055,4.711,7.716,4,0,0,0,1,1,1,0,0,0,1,0,-0.341,2.843,8.08,30.74,ChelatingAgentsLigands,1
554.41,8.529,24,0,0,0,0,0,3,52.3,0,0,14,46,10,12,0,0,406.814,544.801,820.776,0,0,0,0,0,912088,4.116,0,71.455,98.157,0.435,2.44,2.57,10.8479,2.2495,-0.359,0.013,1.037,7.115,5.362,0,0,10,0,0,0,0,0,0,0,0,0,-0.912,8.901,79.23,12.91399506,ChelatingAgentsLigands,1
441.44,8.175,11,5,3,0,0,0,0,33.3,5.6,18.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5619,2.963,2.27,3.945,1.825,1.18,3.285,1.502,20.3073,3.5956,1.356,0.005,-2.695,3.743,7.486,0,0,0,0,0,0,0,0,0,0,0,0,2.541,-0.394,0.155,0.41,ChelatingAgentsLigands,1
226.64,9.066,2,2,2,0,0,1,1,24,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,2.732,2.156,1.495,0.468,2.068,3.364,0.56,13,4.5939,1,0.015,-2.08,3.715,7.477,0,0,0,0,0,0,0,0,0,0,0,0,1.662,-0.719,0.517,0.287,ChelatingAgentsLigands,1
