No.,MW,AMW,nBM,H%,C%,N%,O%,X%,nCsp3,nCIR,TRS,Rbrid,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr10,D/Dtr11,D/Dtr12,Wap,S3K,SRW09,X2v,X5v,EE_Dt,J_D/Dt,EE_Dz(v),ChiA_Dz(p),ATSC1m,ATSC1s,P_VSA_LogP_1,P_VSA_LogP_2,P_VSA_LogP_3,P_VSA_LogP_4,P_VSA_LogP_5,P_VSA_LogP_6,P_VSA_LogP_8,P_VSA_MR_7,P_VSA_MR_8,P_VSA_m_4,P_VSA_m_5,P_VSA_v_3,P_VSA_e_3,P_VSA_e_6,P_VSA_s_3,SpMax_EA(ed),SM13_EA(bo),SM07_EA(dm),H-052,SssCH2,SsssCH,SaaN,SsOH,SssO,CATS2D_02_AL,CATS2D_03_AL,CATS2D_06_AL,CATS2D_01_LL,CATS2D_09_LL,T(N..S),T(N..P),T(N..F),T(N..Cl),T(N..Br),T(N..I),T(O..P),T(O..Cl),T(O..Br),T(S..F),T(F..Cl),T(Cl..Cl),F03[C-N],MLOGP2,ALOGP2,Class,Label
11,496.55,7.759,18,43.8,42.2,0,14.1,0,10,11,30,3,0,0,0,0,0,0,297.491,0,0,103161,3.637,0,9.536,3.859,581.879,23.2594,177.032,0.006,12.857,32.993,48.242,0,175.431,86.019,69.804,0,0,0,0,0,0,139.618,0,0,43.995,13.849,20.602,0,6,0,-4.836,0,43.202,23.02,10,14,7,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.563,7.543,Antibacterial,0
12,484.541,9.889,15,34.7,36.7,12.2,10.2,0,6,5,21,1,0,65.026,96.392,0,132.974,0,0,0,0,26572,4.922,6.529,9.483,4.442,334.854,13.1847,201.938,0.005,6.173,23.149,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,15.96364885,3.129470516,104.3282589,26.42963314,3.005480922,28.89713982,12.791,18.545,5.829,0,0.889,-2.671,11.28,10.3,5.051,4,5,6,6,3,52,0,0,0,0,0,0,0,0,0,0,0,7,3.549,12.98464698,Antibacterial,0
13,622.93,6.107,5,56.9,34.3,0,8.8,0,26,2,22,0,0,0,0,0,0,0,0,0,0,27841,9.911,0,13.563,3.94,608.618,29.0265,317.97,0.003,25.655,33.076,101.193,5.069,218.115,70.579,17.371,0,0,52.625,0,0,0,172.449,0,0,23.875,13.515,17.415,0,3,0.628,-6.661,0,45.029,23.387,7,11,13,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5.826,22.562,Antibacterial,0
14,765.15,6.073,3,57.1,34.1,0,8.7,0,39,5,29,0,0,0,153.454,0,0,0,0,0,0,194546,8.1,7.066,18.477,7.583,198.409634,15.9214,542.749,0.002,32.367,33.016,97.077,22.811,147.003,154.016,0,0,0,18.952,0,0,0,144.884,0,0,28.854,14.991,18.06,6.479,17,5.294,-6.277,0,44.169,33.623,19,23,15,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54,36.709,Antibacterial,0
15,564.492,10.08,16,32.1,35.7,10.7,16.1,0,7,5,21,1,0,79.75,118.491,0,164.353,0,0,0,0,36172,5.956,6.529,12.954,4.273,400.478,14.3062,262.42,0.004,6.835,42.303,17.76914724,18.86790974,65.89339604,67.136505,25.11558895,9.299079817,10.02392171,19.91250739,9.895755111,15.96364885,3.129470516,104.3282589,26.42963314,3.005480922,28.89713982,15.915,18.957,6.907,0,0.11,-3.083,11.202,9.487,16.635,7,7,6,5,3,21,0,0,0,0,0,0,0,0,0,0,0,9,1.763,12.98464698,Antibacterial,0
16,816.1,6.635,10,52.8,35.8,0.8,10.6,0,28,3,27,0,0,0,195.219,0,0,0,0,0,0,83524,13.125,6.763,16.538,4.755,198.409634,26.3629,568.526,0.002,29.168,40.226,101.193,28.149,194.384,208.484,28.371,0,0,74.334,0,0,0,216.257,18.011,0,48.73,13.53,18.103,0,5,0.589,-8.291,0,45.1,29.458,13,16,18,19,17,0,0,0,0,0,0,0,0,0,0,0,0,3,1.44,19.349,Antibacterial,0
17,718.8,7.487,6,47.9,31.3,4.2,16.7,0,22,4,23,0,0,0,162.617,0,0,0,0,0,0,78128,9.521,7.018,12.952,4.056,608.857,16.982,475.536,0.002,21.627,90.501,26.476,71.273,370.615,158.693,0,51.36,0,28.429,0,0,0,88.13,57.157,0,23.459,11.346,16.905,4.788,0,-0.844,-24.608,0,85.575,23.047,5,2,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,8,14.12,20.556,Antibacterial,0
18,460.48,8.079,11,42.1,38.6,3.5,15.8,0,9,10,24,3,0,0,0,0,0,0,278.767,0,0,48224,2.765,0,9.061,4.196,496.411,25.9958,148.798,0.007,11.047,69.861,25.618,32.897,156.479,218.456,15.867,0,0,0,0,0,0,81.761,36.022,0,27.714,16.232,19.72,4.27,3,0,-6.522,0,66.476,0,5,4,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2.556,4.453,Antibacterial,0
19,550.62,7.866,2,48.6,24.3,5.7,20,0,17,3,17,0,0,0,102.171,0,0,0,0,0,0,21920,6.682,6.986,9.893,3.225,357.235,16.7044,268.409,0.003,20.259,114.201,0,103.332,319.583,97.077,0,23.542,0,3.043,0,3.043,0,8.402,119.317,0,4.64,11.182,19.369,0,0,-1.119,-19.868,0,69.718,26.574,0,2,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,6,20.496,53.915,Antibacterial,0
20,1665.11,8.367,45,42.7,36.2,9.5,9,0,31,89,180,103,0,0,711.705,0,0,0,287.542,0,0,25018035,19.844,8.219,32.304,11.538,198.409634,44.8898,117.4183376,0.001,38.301,98.797,88.252,268.809,299.929,463.233,67.483,47.084,0,123.383,157.33,157.33,0,470.366,348.514,0,266.312,15.412,19.957,6.164,24,-0.077,-20.954,23.66,57.971,6.263,9,15,24,9,20,987,0,0,0,0,0,0,0,0,0,0,0,35,53.604,0.16,Antibacterial,0
