,MW,AMW,nBM,nDB,nN,nS,nF,nCL,nHM,C%,N%,O%,nCIC,nCIR,Rbrid,nR05,nR09,nR10,D/Dtr03,D/Dtr04,D/Dtr05,D/Dtr07,D/Dtr08,D/Dtr09,D/Dtr11,D/Dtr12,Wap,MAXDN,LOC,X3v,X5v,Yindex,IC1,CIC3,J_D/Dt,J_Dz(Z),SM1_Dz(e),ChiA_Dz(p),SM1_Dz(p),SpMax_B(m),SpMax_B(s),nCp,nCq,nCrs,nCrt,nR=Cs,nR=Ct,nRCOOR,nRCONHR,nOHs,nROR,nArOR,nArX,Hy,MLOGP,MLOGP2,ALOGP2,Class,Label
5244,298.33,8.774,12.0,1.0,2.0,1.0,0.0,0.0,2.0,35.3,5.9,8.8,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3238.0,3.594,1.775,4.622,1.528,0.88,3.24,1.103,13.5008,3.292,0.691,0.012,-1.588,4.699,5.119,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.621,1.845,3.404,9.071,Pesticides,5
5246,478.46,9.764,16.0,4.0,6.0,1.0,3.0,0.0,1.0,32.7,12.2,12.2,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10803.0,5.931,1.318,5.065,2.055,0.741,4.246,0.633,16.5997,3.004,1.462,0.004,-2.881,4.72,8.512,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.101,2.224,4.945,9.122,Pesticides,5
5247,366.45,13.088,7.0,1.0,0.0,0.0,0.0,5.0,5.0,39.3,0.0,10.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1729.0,2.832,2.096,3.233,1.15,0.938,3.409,0.598,13.0044,3.0093,1.026,0.009,-1.291,4.12,7.432,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,-0.569,4.236,17.942,22.803,Pesticides,5
5248,376.19,11.4,19.0,2.0,5.0,0.0,1.0,2.0,2.0,48.5,15.2,3.0,4.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,51.926,0.0,0.0,0.0,0.0,0.0,14743.0,2.2,0.609,4.125,1.925,0.743,3.726,0.0,15.1004,2.2217,0.981,0.009,-1.94,4.053,8.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.632,4.847,23.489,18.907,Pesticides,5
5249,316.39,7.358,11.0,5.0,2.0,0.0,0.0,0.0,0.0,39.5,4.7,9.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2763.0,2.293,3.035,2.454,0.791,0.73,3.613,0.314,14.0489,2.6506,0.816,0.006,-1.946,3.675,7.436,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321,1.794,3.218,8.505,Pesticides,5
5250,300.34,7.904,14.0,2.0,2.0,0.0,0.0,0.0,0.0,42.1,5.3,10.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4257.0,2.278,1.405,2.587,0.987,0.669,3.178,0.744,12.0435,2.2477,0.816,0.007,-1.946,3.713,7.436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,2.087,4.354,10.775,Pesticides,5
5251,300.34,7.904,14.0,2.0,2.0,0.0,0.0,0.0,0.0,42.1,5.3,10.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4351.0,2.277,1.258,2.741,1.06,0.684,3.313,0.461,12.2529,2.2861,0.816,0.007,-1.946,3.723,7.436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,2.087,4.354,11.696,Pesticides,5
5252,421.48,8.781,16.0,4.0,5.0,1.0,0.0,0.0,1.0,35.4,10.4,12.5,3.0,3.0,0.0,0.0,0.0,0.0,53.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10118.0,5.246,0.904,4.589,2.009,0.56,3.876,0.781,12.4058,2.2285,1.176,0.005,-2.38,4.681,7.719,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.062,2.415,5.834,5.02,Pesticides,5
5253,240.48,10.02,2.0,2.0,2.0,4.0,0.0,0.0,4.0,25.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.829,1.792,5.074,1.719,1.984,2.126,2.459,11.0,6.9377,0.444,0.032,0.317,4.33,4.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.484,0.454,0.206,9.959,Pesticides,5
5255,302.09,12.084,14.0,2.0,1.0,0.0,1.0,2.0,2.0,48.0,4.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3110.0,2.542,0.954,2.729,1.054,0.825,3.083,0.4,11.8945,2.6806,0.959,0.011,-1.94,4.048,8.201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-0.621,4.169,17.38,23.222,Pesticides,5
5256,376.33,9.649,19.0,1.0,2.0,0.0,4.0,0.0,0.0,48.7,5.1,5.1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12583.0,5.746,0.803,3.442,1.425,0.541,3.212,0.378,12.6369,1.9782,1.105,0.005,-2.578,3.815,8.513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.272,4.13,17.059,26.417,Pesticides,5
